scenario,category,trades,wins,losses,win_rate_pct,avg_return_pct,median_return_pct,pnl,return_pct,profit_factor,best_trade_pct,worst_trade_pct,max_drawdown_pct,max_drawdown_usd,peak_equity,open_positions,rejected_limit,rejected_duplicate,rejected_cooldown,rejected_symbol_24h,cooldown_hours,max_entries_24h,max_positions,position_size,score_min
COOLDOWN24_MAX1_24H,diversification,358,165,193,46.08938547,0.70167048,-0.20000000,251.19803313,25.11980331,1.39496873,34.17570225,-22.11945055,-9.56412410,-102.28663092,1214.49803313,9,6474,3242,2546,0,24.0,1,10,100.0,70.0
COOLDOWN12_MAX5,diversification,202,89,113,44.05940594,0.69404212,-0.21349592,140.19650827,14.01965083,1.32804049,34.17570225,-19.91638263,-14.07933478,-147.30667438,1123.77813747,5,9976,1699,747,0,12.0,,5,100.0,70.0
COOLDOWN24_MAX5,diversification,202,89,113,44.05940594,1.48982341,-0.21148968,300.94432881,30.09443288,1.72072309,177.12169201,-18.88953229,-11.38508623,-119.84170732,1281.97839116,4,9432,1675,1316,0,24.0,,5,100.0,70.0
REMOVE_SYMBOL_TOP5,concentration,329,127,202,38.60182371,-0.10452737,-0.29996998,-34.38950631,-3.43895063,0.94933453,22.82623203,-22.40833083,-17.62241972,-178.05035030,1010.36266926,10,9234,3014,0,0,0.0,,10,100.0,70.0
REMOVE_SYMBOL_TOP10,concentration,286,102,184,35.66433566,-0.43735743,-0.44248722,-125.08422434,-12.50842243,0.78816762,22.82623203,-22.40833083,-19.58387064,-197.82438640,1010.13936417,10,9234,3014,0,0,0.0,,10,100.0,70.0
REMOVE_TOP5,outlier,366,149,217,40.71038251,0.32809394,-0.26177797,120.08238294,12.00823829,1.15615142,22.82623203,-22.40833083,-14.93398214,-153.15161255,1120.08238294,10,9234,3014,0,0,0.0,,10,100.0,70.0
REMOVE_TOP10,outlier,361,144,217,39.88919668,0.06444094,-0.28069467,23.26317812,2.32631781,1.03025072,16.43606695,-22.40833083,-14.99231565,-153.74983694,1025.52427853,10,9234,3014,0,0,0.0,,10,100.0,70.0
REMOVE_TOP20,outlier,351,134,217,38.17663818,-0.34376981,-0.44131591,-120.66320271,-12.06632027,0.84309330,13.03704705,-22.40833083,-19.42213644,-199.17872458,1025.52427853,10,9234,3014,0,0,0.0,,10,100.0,70.0
COST015,cost,369,156,213,42.27642276,1.07210937,-0.31995204,395.60835931,39.56083593,1.50071642,183.11885232,-22.49721555,-19.01245047,-205.67754724,1340.59165387,9,9288,2963,0,0,0.0,,10,100.0,70.0
COST020,cost,380,161,219,42.36842105,0.70475843,-0.40997053,267.80820433,26.78082043,1.30683225,33.94129213,-22.58610027,-20.06077888,-215.81478424,1193.18850984,10,9199,3040,0,0,0.0,,10,100.0,70.0
COST030,cost,333,129,204,38.73873874,0.66235530,-0.65763006,220.56431567,22.05643157,1.28962465,176.36669363,-12.08256244,-27.15674872,-288.89479826,1127.35558217,8,9642,2646,0,0,0.0,,10,100.0,70.0
FIRST_HALF,time,341,137,204,40.17595308,0.39003018,-0.27980030,133.00029066,13.30002907,1.19042036,34.17570225,-22.40833083,-16.41952654,-178.61233472,1124.34002315,10,8654,2687,0,0,0.0,,10,100,70.0
SECOND_HALF,time,27,16,11,59.25925926,9.60461846,1.03222982,259.32469831,25.93246983,4.64931836,192.95480506,-13.33378941,-3.77456494,-38.63638887,1257.45876066,8,597,305,0,0,0.0,,10,100,70.0
