scenario,trades,wins,losses,win_rate,return_pct,avg_pct,median_pct,profit_factor,drawdown_pct,drawdown_money,pnl,best_trade,worst_trade,max_win_streak,max_loss_streak,sharpe,sortino,attempted_entries,rejected_limit,rejected_duplicate,rejected_cooldown,rejected_positions
SL5_TP8,360,164,196,45.55555555555556,48.48598626452997,1.2130676326563932,-0.10997977079103285,1.7488192950120922,-8.49531923430091,-86.25164526644608,484.8598626452997,184.16257668711657,-21.128899082568815,12,10,0.10688302284606449,0.37407215553719,8167,89,2178,1099,4441
SL5_TP10,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
SL5_TP12,352,166,186,47.159090909090914,81.99196309761555,1.817020988753759,-0.09999999999999963,2.233195422228456,-11.017657842263768,-113.20578256993508,819.9196309761555,179.93866383534797,-21.732757352941174,12,13,0.15090018482494358,0.55356986899404,8167,62,2287,1018,4448
SL5_TP15,342,145,197,42.39766081871345,62.069010749073996,1.5441959271530528,-0.1649114191974953,1.8774312272072922,-12.638816231268398,-130.0827438274522,620.6901074907399,177.2216920090586,-21.448170011806376,8,9,0.1264585351454297,0.45534242959706556,8167,53,2244,963,4565
SL6_TP10,342,151,191,44.15204678362573,60.043817083510845,1.4717887287214164,-0.11124285622849445,1.943972046852218,-10.580380570133514,-108.90393845454037,600.4381708351084,179.93866383534797,-21.07467532467533,9,12,0.1241460290226781,0.44361090699125816,8167,54,2201,1023,4547
SL6_TP12,340,153,187,45.0,28.85328212456344,0.7935618563877082,-0.11398532094450095,1.4482035659831956,-11.119583604312599,-114.85974933303362,288.5328212456344,31.951249999999987,-21.128899082568804,12,9,0.1156376502572086,0.2301202335840323,8167,44,2197,995,4591
SL6_TP15,335,150,185,44.776119402985074,32.29242059846985,0.893234881799697,-0.11001002004007951,1.530375174464713,-12.53810918582667,-129.73147823692182,322.9242059846985,33.981559094719195,-21.44817001180637,12,9,0.12588777130035708,0.25728915540071395,8167,28,2205,939,4660
COOLDOWN_6H,356,170,186,47.752808988764045,66.75050862989016,1.5431980963116059,-0.0850289728257276,1.9717454331249598,-9.069472028671612,-92.85910824796201,667.5050862989016,183.4106995204234,-21.12889908256881,10,7,0.13103694500709995,0.46675352395006603,8167,205,2320,566,4720
COOLDOWN_12H,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
COOLDOWN_24H,353,148,205,41.92634560906516,17.30200783260709,0.4900123904344025,-0.14321308071631708,1.2502405302231525,-12.803628157053668,-131.0918087892975,173.0200783260709,31.403734439834007,-27.008616556197996,7,9,0.07408897299360667,0.1373746831285388,8167,0,2125,1899,3790
MAX1_ENTRY_24H,350,164,186,46.85714285714286,35.75566701652316,0.9125530907650377,-0.10000000000000239,1.5794913883132726,-10.67140924015509,-109.4628069024958,357.55667016523165,24.546093064091306,-21.07467532467532,9,9,0.1448159293019315,0.2794066018925265,8167,397,2351,0,5069
MAX2_ENTRIES_24H,356,152,204,42.69662921348314,18.30580841181883,0.5100886092181169,-0.12146825348862281,1.2677706552154804,-10.828139880499805,-111.07048358639634,183.0580841181883,23.8909943714822,-21.128899082568804,10,16,0.0808229687100219,0.14503821194335137,8167,39,2356,0,5416
MAX5_POS,193,90,103,46.63212435233161,62.02217948082761,1.4896401512740267,-0.10998051850740831,1.9672539290061297,-16.766490042144348,-167.66490042144346,620.2217948082761,183.41069952042335,-9.74452449567723,5,9,0.10337268535328334,0.4727736537142845,8167,41,1228,621,6084
MAX7_POS,261,118,143,45.21072796934866,63.564191574790776,1.4855298472200165,-0.10998051850744234,1.9961735917155885,-12.831527368894315,-130.20908113139967,635.6419157479078,183.41069952042335,-12.325271542360596,8,7,0.11462935880615656,0.46787748463639073,8167,47,1612,767,5480
MAX10_POS,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
MAX15_POS,491,222,269,45.21384928716905,57.658404719385246,1.46980833225604,-0.10000000000000464,2.06285436934884,-6.610573146651309,-67.16631225554477,576.5840471938525,182.66279069767444,-21.128899082568815,12,9,0.14204059215410522,0.498983046928317,8167,99,3064,1450,3063
COOLDOWN12_MAX1_24H,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
COOLDOWN24_MAX1_24H,353,148,205,41.92634560906516,17.30200783260709,0.4900123904344025,-0.14321308071631708,1.2502405302231525,-12.803628157053668,-131.0918087892975,173.0200783260709,31.403734439834007,-27.008616556197996,7,9,0.07408897299360667,0.1373746831285388,8167,0,2125,1899,3790
COOLDOWN12_MAX5,193,90,103,46.63212435233161,62.02217948082761,1.4896401512740267,-0.10998051850740831,1.9672539290061297,-16.766490042144348,-167.66490042144346,620.2217948082761,183.41069952042335,-9.74452449567723,5,9,0.10337268535328334,0.4727736537142845,8167,41,1228,621,6084
COOLDOWN24_MAX5,189,85,104,44.97354497354497,72.88613940829036,1.7056932783010375,-0.11797840431913861,2.0724394840961935,-16.766490042144348,-167.66490042144346,728.8613940829036,177.2216920090586,-18.789532293986642,6,7,0.11866951821240204,0.5011265695151149,8167,0,1207,960,5811
REMOVE_TOP1,351,155,196,44.15954415954416,26.29210719572753,0.6759286725881678,-0.11598144296911396,1.3954172740211332,-10.476636783076309,-107.26656921579979,262.92107195727533,27.112903225806427,-22.30833083158211,10,9,0.10539121743846323,0.2017459406051561,8167,79,2225,986,4525
REMOVE_TOP3,349,153,196,43.83954154727794,20.887468826133613,0.5336592162783904,-0.11797840431914096,1.3141348056641609,-10.476636783076309,-107.26656921579979,208.87468826133613,24.051648351648332,-22.30833083158211,10,9,0.08680853342004326,0.15882801376037606,8167,79,2225,986,4525
REMOVE_TOP5,347,151,196,43.51585014409222,15.933516203934333,0.408764021495351,-0.11995405972237069,1.2396303763722325,-10.476636783076309,-107.26656921579979,159.33516203934334,22.926232032854216,-22.30833083158211,10,9,0.06883741771643673,0.12130753499512124,8167,79,2225,986,4525
REMOVE_TOP10,342,146,196,42.69005847953216,5.7144487456955435,0.12221253677942874,-0.12046527495568154,1.0859418276646764,-12.136728906728663,-122.00261475378022,57.14448745695543,16.020782396088016,-22.30833083158211,10,9,0.022311083114254535,0.036006357498849624,8167,79,2225,986,4525
REMOVE_TOP20,332,136,196,40.963855421686745,-9.757058219850961,-0.28141973822762667,-0.16353976477434742,0.8532597887633023,-13.699525277619443,-136.99525277619443,-97.57058219850961,12.614545454545459,-22.30833083158211,10,9,-0.05598979188656573,-0.0816909551271481,8167,79,2225,986,4525
CAP_15,352,156,196,44.31818181818182,21.15679802918394,0.5400311251882027,-0.11398532094450428,1.318185352791922,-10.527008375196447,-107.26656921579979,211.5679802918394,15.0,-22.30833083158211,10,9,0.09111004406002474,0.16141374005730805,8167,79,2225,986,4525
CAP_20,352,156,196,44.31818181818182,26.1127561616212,0.6754555585527394,-0.11398532094450428,1.3927199437359927,-10.476636783076309,-107.26656921579979,261.127561616212,20.0,-22.30833083158211,10,9,0.10724003647247096,0.20189171116849816,8167,79,2225,986,4525
CAP_30,352,156,196,44.31818181818182,29.101992730996784,0.7592356934046787,-0.11398532094450428,1.4376762405770027,-10.476636783076309,-107.26656921579979,291.01992730996784,30.0,-22.30833083158211,10,9,0.11516937287275306,0.2269333509522129,8167,79,2225,986,4525
CAP_50,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
REMOVE_SYMBOL_TOP1,346,151,195,43.641618497109825,20.846549626695026,0.5381760588375697,-0.11896623202075582,1.3168444424366612,-10.59723751137737,-107.26656921579979,208.46549626695025,27.112903225806427,-22.30833083158211,10,9,0.0859443480906078,0.1604790786972272,8167,79,2225,986,4525
REMOVE_SYMBOL_TOP3,327,140,187,42.813455657492355,9.807722290215796,0.23801017748021883,-0.11995605273674029,1.154068604503109,-14.535111348395905,-147.2555507078481,98.07722290215797,27.112903225806427,-22.30833083158211,9,9,0.039949178270756336,0.06997489824620853,8167,79,2225,986,4525
REMOVE_SYMBOL_TOP5,315,133,182,42.22222222222222,2.6301535148397264,0.04954886352993394,-0.11996203416924106,1.0421750168171804,-14.537755033357882,-145.37755033357882,26.301535148397264,27.112903225806427,-22.30833083158211,9,9,0.00857533365615992,0.014382118527028292,8167,79,2225,986,4525
REMOVE_SYMBOL_TOP10,284,112,172,39.436619718309856,-7.278464364045717,-0.2855792320744857,-0.16353976477434742,0.8710047316212401,-19.535107642355946,-195.35107642355945,-72.78464364045718,27.112903225806427,-22.30833083158211,7,9,-0.053765232005880376,-0.08299952997039946,8167,79,2225,986,4525
COST015,352,153,199,43.465909090909086,27.02150428734933,0.7143461949373506,-0.1639783212843762,1.4040502168078255,-10.712979214561718,-109.57036367995624,270.2150428734933,31.88520833333337,-22.347215550885608,10,9,0.10799770417977621,0.21187208211901487,8167,79,2225,986,4525
COST020,352,151,201,42.89772727272727,24.798244399060412,0.6639133726063849,-0.2139713216242451,1.368633603346264,-10.948590484853103,-111.86175948152083,247.9824439906041,31.819166666666675,-22.386100270189125,10,9,0.10042335625074739,0.1953983805791015,8167,79,2225,986,4525
COST030,352,147,205,41.76136363636363,20.46885708925649,0.563047727944455,-0.31395732230397816,1.300765303541672,-11.417628585466606,-116.40759046717653,204.68857089256488,31.687083333333355,-22.463869708796157,10,9,0.08525186897464879,0.1631729357284402,8167,79,2225,986,4525
FIRST_HALF,326,137,189,42.02453987730061,18.464783291287095,0.5515716759852802,-0.12046527495568154,1.3084218011289426,-10.476636783076309,-107.26656921579979,184.64783291287097,31.951250000000016,-22.30833083158211,10,9,0.0863649426510777,0.16750923028627313,7562,74,2009,900,4253
SECOND_HALF,34,16,18,47.05882352941176,17.238390762291044,5.5783821666972315,-0.2254390064034069,2.714122338809431,-8.111049599846625,-81.11049599846626,172.38390762291044,184.16257668711654,-21.128899082568804,6,6,0.1704678595213758,0.9376763486119676,605,11,191,94,275
